Parti,Partinavn
A,Arbeiderpartiet
SV,Sosialistisk Venstreparti
RØDT,Rødt
SP,Senterpartiet
KRF,Kristelig Folkeparti
V,Venstre
H,Høyre
FRP,Fremskrittspartiet
MDG,Miljøpartiet De Grønne
DEMN,Demokratene i Norge
DLF,Det Liberale Folkepartiet
KRISTNE,De Kristne
KSP,Kristent Samlingsparti
KYST,Kystpartiet
NKP,Norges Kommunistiske Parti
PIR,Piratpartiet
PP,Pensjonistpartiet
SFP,Samfunnspartiet
AKSJOLJE,"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja"
FOLKEM,Folkemakten
SJALTA,Sykehus til Alta
